Country,Language
ARG,es
ARM,hy
AUS,en
AUT,de
AZE,az
BGD,en
BLR,be
BEL,fr
BEL,nl
BOL,en
BIH,bs
BRA,pt
BGR,en
CAN,en
CHL,en
CHN,zh
COL,es
HRV,en
CUB,es
CYP,el
CZE,cs
DNK,en
DOM,es
EGY,ar
SLV,es
EST,et
FIN,fi
FRA,fr
GEO,ka
DEU,en
GRC,el
HND,es
HKG,en
HUN,hu
ISL,is
IND,en
IDN,en
IRN,fa
IRL,en
ITA,it
JPN,ja
JOR,en
KAZ,kk
KGZ,ky
LVA,en
LBY,ar
LTU,lt
LUX,de
MAC,pt
MKD,en
MYS,en
MEX,es
MDA,en
MNG,en
MNE,en
NLD,en
NZL,en
NGA,en
NOR,nb
PSE,ar
PHL,en
POL,pl
PRT,en
KOR,en
ROU,ro
RUS,ru
SRB,sr
SGP,en
SVK,sk
SVN,sl
ZAF,en
ESP,es
LKA,en
SWE,sv
CHE,en
SYR,ar
TWN,zh
TJK,tg
THA,th
TUN,fr
TUR,tr
TKM,tk
UKR,uk
GBR,en
USA,en
UZB,uz
VEN,en
VNM,en
